ILMNID	CHR	MAPINFO	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C30	C31	C32	C33	C34	C35	C36	C37	C38	C39	C40	C41	C42	C43	C44	C45	C46	C47	C48	C49	C50	C51	C52	C53	C54	C55	C56	C57	C58	C59	C60	C61	C62	C63	C64	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	P23	P24	P25	P26	P27	P28	P29	P30	P31	P32	P33	P34	P35	P36	P37	P38	P39	P40	P41	P42	P43	P44	P45	P46	P47	P48	P49	P50	P51	P52	P53	P54	P55	P56	P57	P58	P59	P60	P61	P62	P63	P64
cg15394630	chr1	567206	0.199252682	0.180786942	0.18465587	0.203174158	0.172593255	0.218513734	0.180342339	0.366394255	0.206301201	0.211695115	0.405315601	0.150283387	0.239466227	0.255572518	0.28232905	0.15065693	0.111990348	0.17117566	0.233851227	0.211604374	0.120120157	0.168957636	0.186484129	0.241391415	0.156650027	0.171565954	0.162074886	0.232619722	0.299137379	0.163186542	0.250207462	0.189607889	0.197998389	0.201543894	0.162500352	0.150572888	0.070685971	0.081344063	0.196158701	0.207511292	0.184851294	0.192988435	0.126824171	0.159023128	0.363975909	0.105532001	0.199026771	0.203099899	0.299921292	0.130460933	0.134559355	0.193041298	0.102415317	0.217579833	0.199602308	0.199928298	0.170701318	0.184487963	0.176058163	0.24719285	0.311226553	0.25971057	0.167962339	0.1500052	0.214663914	0.205809477	0.150359212	0.172420216	0.123752566	0.178628631	0.146657314	0.322392885	0.166838801	0.164505082	0.15890353	0.185657972	0.222592664	0.218530057	0.215787549	0.157618583	0.127617972	0.192642288	0.168072161	0.172978622	0.1113255	0.145621635	0.211647122	0.268672116	0.189834185	0.20178385	0.143108186	0.275967633	0.291183955	0.178618285	0.213345021	0.163986942	0.270309422	0.161948274	0.177076127	0.155748477	0.11435482	0.081661397	0.187168782	0.116217327	0.162433931	0.208942553	0.234049629	0.287290935	0.324627806	0.116157001	0.15875894	0.171688976	0.264111121	0.095726079	0.154346521	0.164193826	0.142113548	0.182916139	0.197494629	0.148427982	0.144381542	0.173231184	0.287267018	0.249840946	0.139274019	0.235925297	0.149216524	0.143265217
cg05001044	chr1	567312	0.146716176	0.098898219	0.200585742	0.23683543	0.207745065	0.136676424	0.152289227	0.225153925	0.186524074	0.182050759	0.235723594	0.117072745	0.168385324	0.179359476	0.223137511	0.155223411	0.097874504	0.164976065	0.221195181	0.186291022	0.11583539	0.208376064	0.191015605	0.16582613	0.12959199	0.122983577	0.163492908	0.195051392	0.283503227	0.19769145	0.132315851	0.130234832	0.162085701	0.14732639	0.129535497	0.135189932	0.106348846	0.119425769	0.181411798	0.189528581	0.155314997	0.134507825	0.105392129	0.13779398	0.236435063	0.09758099	0.173424487	0.127993898	0.198156949	0.093777654	0.101838012	0.11250776	0.081723181	0.186834782	0.159165392	0.126535819	0.112699697	0.152300975	0.128892615	0.196860532	0.226078671	0.193340473	0.11621686	0.112495385	0.136882482	0.140243238	0.149183027	0.175027277	0.149704264	0.146532914	0.109609533	0.234946659	0.134586277	0.143545003	0.096607623	0.142854849	0.137455975	0.124814642	0.177097151	0.110444164	0.113323936	0.201493961	0.141055145	0.114807776	0.097456627	0.210514164	0.164181109	0.149847046	0.148280279	0.12917251	0.123074	0.125350138	0.183041937	0.120042507	0.151768622	0.181745226	0.200220326	0.150857555	0.135522585	0.158665563	0.117838206	0.120288261	0.149150655	0.123159521	0.140816818	0.146860838	0.178651174	0.219528496	0.232635397	0.097433995	0.166082215	0.1532839	0.209446412	0.127174814	0.122068663	0.113673283	0.124613568	0.164798976	0.147516904	0.127659385	0.131764649	0.130736128	0.206622224	0.205783726	0.11347695	0.197450841	0.13379609	0.115686248
cg03344490	chr1	567348	0.110326028	0.093083581	0.127200834	0.156348867	0.124167109	0.170586966	0.166516975	0.168207035	0.13002537	0.126303881	0.266132067	0.068529874	0.160750504	0.117356873	0.195040164	0.089208499	0.073977319	0.10262026	0.164230702	0.116464213	0.085438169	0.093007638	0.094343832	0.123539272	0.103625966	0.080913985	0.110542022	0.151694982	0.234262184	0.099314603	0.128175249	0.129981628	0.10840615	0.134321125	0.110072571	0.084662521	0.057161995	0.069276887	0.120615619	0.154185724	0.106002616	0.146937623	0.068641727	0.088728509	0.182032031	0.076635352	0.105473288	0.102980758	0.132723948	0.074815474	0.062490846	0.10987359	0.056652271	0.140222056	0.131422932	0.13416876	0.069768074	0.094377857	0.110046398	0.09411172	0.130188582	0.12351202	0.109485602	0.1302809	0.085572258	0.083629519	0.081633357	0.117294852	0.087920334	0.12698964	0.114420181	0.161939269	0.099266792	0.082833065	0.075086788	0.073371185	0.100156614	0.10078351	0.085445311	0.076136904	0.072897515	0.117207754	0.104046721	0.085251288	0.062981653	0.091645085	0.12423756	0.113452885	0.118366807	0.111202864	0.094162548	0.126321869	0.109792104	0.083951048	0.085028302	0.116433689	0.160425155	0.097820047	0.105585197	0.095375981	0.08463122	0.076514101	0.109483189	0.090130583	0.11986344	0.148773108	0.124231406	0.149467046	0.156381663	0.080180743	0.099558963	0.095540745	0.13390375	0.071534548	0.093209807	0.096662666	0.087991971	0.125017889	0.102367974	0.103810426	0.085558557	0.09000149	0.148012905	0.141896139	0.096018157	0.127529081	0.116692739	0.116076645
cg17501828	chr1	567358	0.214373393	0.204953205	0.217450397	0.253153705	0.265518233	0.248725022	0.260832422	0.282760832	0.250621097	0.213612249	0.3515609	0.158897357	0.275131823	0.239971434	0.269716295	0.16063515	0.164277265	0.168736431	0.250358449	0.221712456	0.169564058	0.218835887	0.217927815	0.228435379	0.216065655	0.160640074	0.201489459	0.257037677	0.291566218	0.192940564	0.199444849	0.247528678	0.21242657	0.250217917	0.211901713	0.173849079	0.135700424	0.172606167	0.230596581	0.291831929	0.209804469	0.259659808	0.140950429	0.190834462	0.322318441	0.18670128	0.278686188	0.257414261	0.271157584	0.186570818	0.180010953	0.223947063	0.171702546	0.275418731	0.247096595	0.22297173	0.167934263	0.22559337	0.222106283	0.269228061	0.2917518	0.288288593	0.207080924	0.232066039	0.221827535	0.207564115	0.185850895	0.216112472	0.220013893	0.241257112	0.185100528	0.302333095	0.220452567	0.185745673	0.205833142	0.210539459	0.193131657	0.196405213	0.225945855	0.189708959	0.195587436	0.219974801	0.206792008	0.190775005	0.18273031	0.213211904	0.198172231	0.217415386	0.216450182	0.209299594	0.185419515	0.242397419	0.245385082	0.194819516	0.197942246	0.225359233	0.279621956	0.23451401	0.237323129	0.196208144	0.191230716	0.212763008	0.224016166	0.204985959	0.245415641	0.257127511	0.291580653	0.303081523	0.331288044	0.170405469	0.231762996	0.231389228	0.299230708	0.177055992	0.220942023	0.21733045	0.228271545	0.262210516	0.237309075	0.209103857	0.158993229	0.224119143	0.29641156	0.286976466	0.209492964	0.274994658	0.211941494	0.200274668
cg23917638	chr1	567501	0.45952119	0.247338844	0.465559623	0.312118955	0.880402544	0.258002033	0.228879876	0.341085831	0.516380279	0.475652593	0.633667544	0.350599351	0.546117286	0.573769935	0.533924392	0.311342445	0.376263646	0.343059766	0.548780335	0.472080033	0.312642591	0.452390661	0.364213455	0.538320495	0.44139009	0.399334706	0.402702491	0.564418609	0.648385455	0.349778866	0.443360766	0.411293114	0.439635323	0.315464243	0.385001918	0.367959314	0.112536715	0.082378216	0.321251008	0.332963102	0.323697553	0.288136935	0.225941051	0.325872686	0.372997404	0.243641982	0.476806662	0.451494514	0.34228571	0.263913333	0.268068549	0.280972783	0.180903344	0.418115808	0.390089069	0.22909957	0.288870265	0.348430827	0.289141711	0.247397861	0.365008311	0.252277749	0.228747507	0.222588049	0.488314102	0.469365098	0.38042103	0.406847912	0.247679212	0.247496597	0.188141428	0.357074159	0.397030709	0.421746844	0.426163161	0.440141582	0.4676404	0.506023949	0.468498331	0.402253802	0.285390583	0.444226797	0.375690547	0.399949754	0.220651369	0.347345157	0.479263673	0.530664866	0.480133688	0.517208475	0.308520797	0.566930572	0.573030226	0.408554307	0.461110844	0.402582239	0.598598448	0.340887714	0.359911456	0.380252	0.254118069	0.084871619	0.34292491	0.182343802	0.308530108	0.263572176	0.265307001	0.337830351	0.38423769	0.321637582	0.337257998	0.417457602	0.333699441	0.222483998	0.288094989	0.2679233	0.330553659	0.35086878	0.43317215	0.208348256	0.274205974	0.346901435	0.29840547	0.266439993	0.273687687	0.259676032	0.22807783	0.204250182
cg18024856	chr1	567747	0.029373889	0.028033047	0.030221355	0.048459714	0.045942406	0.031608929	0.018967475	0.027846245	0.059689746	0.022737422	0.059773078	0.012204695	0.013461287	0.028845217	0.083607759	0.011700962	0.014260986	0.030045947	0.028927242	0.016795394	0.009493835	0.045141183	0.039820008	0.034196818	0.037126506	0.016461062	0.040030769	0.036123778	0.051159114	0.007129515	0.095362604	0.061150159	0.083808716	0.032056484	0.03179241	0.048213943	0.010716996	0.043136031	0.048767206	0.088723036	0.016072657	0.053612024	0.009903525	0.03615827	0.036685596	0.025170749	0.033786918	0.035385008	0.010024445	0.015153669	0.016063692	0.01886134	0.0145187	0.065502329	0.055761198	0.031061812	0.023933241	0.045931885	0.063149167	0.017182887	0.02019875	0.015006343	0.021007569	0.018633495	0.025961885	0.015966047	0.019044774	0.028573996	0.037216507	0.018152717	0.019620759	0.016674873	0.044573623	0.01198359	0.024067313	0.017961572	0.015900472	0.017377303	0.023723897	0.013162899	0.017499948	0.046904384	0.029070669	0.015174302	0.018571254	0.033191176	0.036394195	0.032072638	0.033785359	0.018186984	0.038459281	0.032068203	0.032770101	0.015783668	0.032578269	0.040046348	0.045072066	0.017759866	0.032583918	0.043584071	0.014735331	0.053417553	0.04552926	0.028466502	0.01794829	0.036195953	0.014008206	0.039392569	0.016924339	0.024372016	0.021431922	0.039325781	0.008647375	0.00912764	0.016976214	0.019163802	0.012239929	0.062711515	0.032288568	0.028789011	0.013573644	0.022943861	0.031142833	0.015954509	0.014592121	0.009254786	0.029833655	0.011928893
cg21996134	chr1	663153	0.991515608	0.982957284	0.98890889	0.986318119	0.974434893	0.886568664	0.950917242	0.98921546	0.981974709	0.920443584	0.986845039	0.831661679	0.942373056	0.926776323	0.988343582	0.985622107	0.872258553	0.779883051	0.979024966	0.9871654	0.964920497	0.985021511	0.987596012	0.988108695	0.991496122	0.925082764	0.966107773	0.990152637	0.990210744	0.970643517	0.973672597	0.974853784	0.966672483	0.984069569	0.973369799	0.970719273	0.983600732	0.882311389	0.970485046	0.953329774	0.821270172	0.967071231	0.74343186	0.779337613	0.977436036	0.95590809	0.982960722	0.985283792	0.958896467	0.719189382	0.79821789	0.806967525	0.913913002	0.98291586	0.846960792	0.958283664	0.823600559	0.988811825	0.920393778	0.985708466	0.988945094	0.971148568	0.883210512	0.903942217	0.990973408	0.98659348	0.978976732	0.978547129	0.973474709	0.921208092	0.899269619	0.989632359	0.975933408	0.980183203	0.988098955	0.981720053	0.983674058	0.986741811	0.990727003	0.984455581	0.965089128	0.988095417	0.972051918	0.99011493	0.943950225	0.966855228	0.988826671	0.989666769	0.992270787	0.985408344	0.964852529	0.98922725	0.989786111	0.986312913	0.987423722	0.982799734	0.98748056	0.968832447	0.970318401	0.989300589	0.986477199	0.970887704	0.985341046	0.94934552	0.957970244	0.941772103	0.967457068	0.980120604	0.984432005	0.967332828	0.966631302	0.982077567	0.968882822	0.975792694	0.929086896	0.93298872	0.961761824	0.967554032	0.984084926	0.953859861	0.976640908	0.986842912	0.974034717	0.986717157	0.985394451	0.985350218	0.921330616	0.954684695
cg08167039	chr1	762232	0.047974203	0.031707356	0.044408141	0.076343196	0.018909964	0.039645824	0.063721793	0.17939008	0.034304173	0.031988201	0.059368874	0.047593994	0.046356304	0.043328236	0.066520589	0.023525923	0.028778633	0.030528946	0.031139845	0.060628386	0.033804173	0.033703875	0.039670044	0.038218024	0.036487952	0.030714687	0.032293597	0.036909731	0.026248222	0.061523014	0.048422834	0.026146763	0.065405155	0.029832447	0.030086093	0.035114148	0.025653765	0.041290426	0.02251916	0.028169639	0.021125943	0.036448998	0.034468611	0.027663379	0.15925354	0.026184389	0.036469391	0.026160465	0.144523286	0.036216673	0.022422863	0.041377011	0.04440425	0.035705013	0.028552025	0.062179814	0.020586288	0.020383598	0.030781907	0.133975254	0.157284693	0.170700859	0.040787193	0.049890093	0.042055321	0.037215954	0.036167291	0.037574465	0.023427244	0.053801048	0.041765471	0.167583937	0.034272217	0.035754193	0.048520921	0.032031898	0.03124785	0.059638436	0.045680637	0.03527024	0.029313729	0.024327547	0.031794233	0.044015738	0.048528409	0.051214624	0.045653602	0.041723257	0.049235398	0.03085611	0.026450443	0.03853855	0.02948319	0.039236242	0.039672964	0.030174916	0.035278457	0.0287465	0.03926253	0.037021181	0.027429259	0.028018302	0.025329258	0.039078691	0.029748273	0.064726228	0.146756976	0.149592801	0.196502413	0.028557888	0.022732576	0.02815136	0.15727863	0.029536795	0.022493885	0.040363638	0.021512222	0.031221969	0.023084305	0.042886748	0.023690263	0.022166297	0.152500384	0.162257196	0.029470753	0.150726589	0.054035828	0.04433241
cg20677962	chr1	762279	0.037628989	0.030994805	0.018552994	0.029848367	0.045381233	0.036420318	0.063822579	0.147950109	0.034718042	0.023954154	0.041535374	0.034527047	0.030276785	0.034654615	0.050860406	0.026396006	0.021761344	0.02831486	0.023138908	0.035154891	0.03494076	0.037680732	0.039159448	0.035757291	0.032716453	0.030727833	0.025000371	0.032568651	0.031587668	0.031748388	0.027097256	0.024784582	0.049351106	0.033838084	0.021699464	0.027356568	0.018838105	0.025685548	0.026990486	0.035136811	0.02183502	0.033395401	0.032544089	0.037419344	0.167409808	0.02420722	0.029273935	0.030530298	0.131862971	0.033722005	0.017897924	0.025884977	0.025921543	0.02917247	0.033345991	0.034770184	0.028467526	0.028213641	0.049695126	0.155710716	0.126662623	0.145593243	0.037144829	0.109782778	0.029962777	0.02723085	0.037222619	0.024436188	0.029776325	0.053595076	0.025509132	0.133535058	0.026639174	0.027075415	0.034728294	0.036752878	0.022748619	0.034191773	0.043789284	0.033806884	0.025842191	0.024451674	0.024650077	0.034838432	0.022828275	0.023382713	0.034504078	0.023979615	0.035291691	0.031332808	0.023871171	0.033723873	0.029366224	0.030834125	0.03670676	0.026754887	0.028943502	0.038435405	0.027512793	0.028993673	0.024743701	0.027888245	0.029013214	0.034398672	0.033853216	0.036068511	0.144397784	0.112782802	0.168682696	0.021068332	0.027976369	0.030169885	0.175276744	0.023860203	0.019390746	0.031912116	0.02729535	0.028537761	0.031475022	0.037376601	0.028955355	0.037409836	0.120115201	0.181721038	0.055032653	0.145432303	0.031915887	0.055196152
cg24699430	chr1	762651	0.011285354	0.012961836	0.009163678	0.010712943	0.0115561	0.015341541	0.014578374	0.02077415	0.010606435	0.009999295	0.011565784	0.011218464	0.011012669	0.012036569	0.011079064	0.00975719	0.011434974	0.013143163	0.011087915	0.01086484	0.010669115	0.011725287	0.014008342	0.013277462	0.010804131	0.014517927	0.010828647	0.009654787	0.009739846	0.009314806	0.009422499	0.010362709	0.013578969	0.014788686	0.011111718	0.009872984	0.010203142	0.013762923	0.013931477	0.015882627	0.014335661	0.016870735	0.017888059	0.018761823	0.021401197	0.013479122	0.013582434	0.01059725	0.018456813	0.013786068	0.013858985	0.014753315	0.012762299	0.011882083	0.012727773	0.014339406	0.014424702	0.01253288	0.015125572	0.01839762	0.021128157	0.019065073	0.01615405	0.015554864	0.009784051	0.011119417	0.009885269	0.009997036	0.013145889	0.015904117	0.015760166	0.021417119	0.010413585	0.010052419	0.011666974	0.012590804	0.010010942	0.01314255	0.011691627	0.010695606	0.014420386	0.011427611	0.009921514	0.011662316	0.013470867	0.010038024	0.009607514	0.01193835	0.012668003	0.010984054	0.016830046	0.013364576	0.011889715	0.009762778	0.012371002	0.009773176	0.01418899	0.013159814	0.012096695	0.010521435	0.011497611	0.012774391	0.012588546	0.013869581	0.016036902	0.015242048	0.019417354	0.019290932	0.018469435	0.010068863	0.013090027	0.012243896	0.020948289	0.007861289	0.013034442	0.013368239	0.014141431	0.011833809	0.011786642	0.014013125	0.012146363	0.013775257	0.019012371	0.018611937	0.016290585	0.018104222	0.014913355	0.01566296
cg01551879	chr1	762882	0.013294055	0.015797611	0.011844528	0.012862013	0.024171056	0.015256446	0.011340931	0.015129622	0.013007523	0.015658967	0.0128826	0.014273215	0.009231648	0.012418005	0.01343577	0.01143221	0.011452522	0.02221236	0.011852769	0.011221028	0.012102785	0.010374331	0.011345234	0.01453411	0.012727317	0.011767885	0.015624741	0.01465809	0.009042342	0.013798097	0.013446851	0.016677254	0.012806202	0.011510885	0.012857465	0.013536288	0.016431568	0.015676615	0.015641806	0.012001034	0.011926078	0.013946274	0.013372232	0.014900783	0.014544035	0.0232634	0.01388412	0.012744233	0.013621956	0.018121214	0.014927029	0.012964321	0.011698776	0.01186033	0.013064319	0.014154471	0.013174183	0.013170972	0.01121779	0.01449833	0.012635707	0.013672838	0.017325139	0.010858452	0.011576271	0.013580842	0.011659492	0.011404141	0.013464582	0.014806789	0.015469816	0.013208983	0.019815306	0.012055127	0.012989169	0.012638987	0.008982709	0.013702272	0.01156463	0.012497835	0.012497529	0.011425824	0.013679999	0.011247414	0.028882858	0.016275543	0.010719307	0.010752844	0.01086242	0.011414319	0.021943267	0.010338166	0.01163784	0.011430185	0.01693358	0.011694165	0.013356452	0.014799253	0.015982939	0.012131289	0.015259915	0.013511437	0.013305039	0.011021847	0.016042386	0.015229773	0.019617609	0.01216323	0.013287789	0.013011461	0.01388597	0.012318856	0.01451815	0.012551263	0.012221855	0.012349335	0.012346802	0.011157996	0.011750963	0.016748852	0.012950251	0.0110489	0.013641341	0.014980834	0.014508175	0.01238797	0.016716927	0.011798862
cg22394869	chr1	762912	0.016300518	0.020209426	0.020632973	0.016451721	0.020534669	0.023275106	0.020128659	0.018333323	0.017252851	0.020670977	0.015658931	0.019153635	0.016522736	0.01643774	0.017358289	0.014718566	0.020991944	0.057746585	0.014874567	0.013221285	0.018732214	0.018209707	0.015380708	0.015493965	0.016797648	0.017859677	0.029550112	0.020587152	0.015441081	0.027469342	0.019837466	0.022430919	0.015937348	0.017375048	0.026106229	0.024766609	0.028426147	0.018327022	0.015556875	0.022717804	0.01777938	0.018313949	0.01953927	0.015198306	0.012690627	0.032071046	0.017925003	0.01502822	0.007738773	0.021331494	0.018812905	0.018911557	0.014067108	0.017672703	0.016961422	0.024079034	0.013835721	0.015855383	0.016708033	0.011454876	0.009737591	0.017531968	0.021038112	0.024581633	0.016252701	0.026448781	0.015874342	0.017652348	0.02054821	0.023113697	0.02249505	0.01367067	0.019870836	0.020384351	0.024771191	0.01744193	0.015841125	0.01537906	0.016281029	0.01691445	0.019250586	0.015590446	0.023187689	0.018451896	0.031612	0.022192292	0.011526361	0.01429108	0.013509867	0.012556246	0.03059431	0.012134461	0.014500286	0.015605607	0.018316902	0.016413995	0.016274871	0.019280566	0.021553363	0.021940471	0.02199227	0.023817028	0.014122319	0.016307495	0.016579899	0.028555399	0.015373826	0.01611709	0.011225122	0.015766456	0.019081881	0.013027423	0.0098697	0.045750218	0.018571287	0.01518073	0.015140851	0.018562706	0.016277736	0.018382937	0.017567043	0.013714815	0.01868447	0.016917731	0.022958649	0.015911314	0.032146277	0.026553917
cg02550592	chr1	762915	0.019478274	0.013058506	0.031447118	0.036986588	0.038382419	0.044873684	0.021756742	0.018993408	0.037258301	0.030838699	0.014073159	0.01353324	0.022498245	0.021968356	0.016460302	0.015140101	0.019855352	0.037890469	0.020130219	0.01502661	0.015518342	0.033473193	0.019052708	0.018461285	0.017544351	0.027027044	0.042657411	0.024159509	0.016452457	0.025719733	0.043314884	0.030644231	0.012722299	0.01968141	0.02254987	0.059762498	0.038932909	0.015080141	0.040605243	0.034384329	0.019123235	0.017458559	0.034962052	0.01829092	0.023540437	0.04339034	0.01534283	0.010405762	0.017835825	0.035964043	0.019185302	0.023055171	0.017893051	0.012226963	0.012344817	0.033588231	0.015746209	0.021565099	0.014966721	0.034730472	0.017516085	0.036137826	0.022969543	0.039229173	0.016096007	0.029781647	0.017532656	0.020332369	0.018471433	0.041473817	0.026581986	0.025341843	0.020974447	0.0173777	0.028165318	0.02197273	0.023971387	0.013371024	0.052935153	0.016990919	0.017782077	0.017290727	0.065767208	0.022978569	0.027135732	0.060032524	0.014123301	0.015092587	0.011655909	0.01340845	0.031147214	0.018323874	0.014679308	0.057862416	0.01701238	0.023457851	0.014133994	0.021010921	0.041064835	0.032853835	0.030660636	0.016964613	0.026465652	0.020635772	0.021084927	0.060399551	0.027800396	0.031732466	0.021148703	0.016700464	0.019244875	0.013759252	0.025468017	0.066397754	0.025276371	0.01968269	0.022099337	0.020652586	0.018142665	0.019464382	0.042819695	0.01498576	0.02895068	0.027459012	0.021858009	0.024595655	0.074435904	0.02462638
cg03213877	chr1	763116	0.027164627	0.016889753	0.017093079	0.033414094	0.019348958	0.01484313	0.018448312	0.069080048	0.017132875	0.017135001	0.039819046	0.026805352	0.036247407	0.030520809	0.026122553	0.026174504	0.021166684	0.021094188	0.017688025	0.026176725	0.020023405	0.013522306	0.046151507	0.093369832	0.024473515	0.024088033	0.019938999	0.031278386	0.02171759	0.034976533	0.024567567	0.016163697	0.06656421	0.096398604	0.016272827	0.025668836	0.018289826	0.01754673	0.013966531	0.01740077	0.014339652	0.018170502	0.022060571	0.01995653	0.023281174	0.01719467	0.024480196	0.015591571	0.0255668	0.021278169	0.014967019	0.015844322	0.013469064	0.105568412	0.015971799	0.044732042	0.01551541	0.012560927	0.017077185	0.027265911	0.022657114	0.023189806	0.035048808	0.015085633	0.025257739	0.019453551	0.022163588	0.020387369	0.015577469	0.016865024	0.017817366	0.027456673	0.020345968	0.019113851	0.037331092	0.025733731	0.027446656	0.029375181	0.024762063	0.02390891	0.018365918	0.020821249	0.016096287	0.030888354	0.017573863	0.013982257	0.029997185	0.025447989	0.036907344	0.024029781	0.018843806	0.036341424	0.026350827	0.028559292	0.022769876	0.016794376	0.02772343	0.016378174	0.01883005	0.018358438	0.017553278	0.016197204	0.013293232	0.013852889	0.021629942	0.015590799	0.026985902	0.023367096	0.024155034	0.015446275	0.012582687	0.016490875	0.025336632	0.016157689	0.017716952	0.012870852	0.015455302	0.015987023	0.015470144	0.016209556	0.014398287	0.014538919	0.0267642	0.023609996	0.017681755	0.022259037	0.01714037	0.014165201
cg23803172	chr1	763119	0.014461377	0.015565048	0.01325882	0.016828039	0.027544207	0.011995382	0.0106878	0.011481109	0.011560889	0.013393452	0.017522698	0.015550339	0.013468374	0.015577767	0.016702541	0.013785101	0.012308876	0.021151436	0.012600852	0.012539924	0.013155315	0.008515813	0.024127514	0.024465863	0.013282731	0.01544864	0.013107943	0.02058694	0.012572504	0.01939157	0.012751383	0.013134234	0.033685021	0.033035067	0.012690431	0.01917028	0.012608636	0.012236811	0.012805283	0.010674475	0.011715237	0.01415251	0.012691871	0.009046692	0.006077103	0.016811033	0.01588168	0.010742283	0.006487136	0.012756499	0.011635378	0.010862424	0.008258654	0.034594726	0.010218271	0.02162026	0.011442461	0.009949465	0.009726254	0.007673957	0.0065516	0.005137188	0.013778304	0.011688323	0.013801143	0.012677193	0.010636098	0.011052505	0.012125733	0.01011294	0.013119888	0.007634627	0.012363412	0.013183546	0.012361778	0.013737926	0.01087051	0.014410548	0.014328922	0.015430875	0.012439284	0.013289662	0.01033434	0.012472819	0.020203279	0.011458482	0.012627093	0.011819502	0.012105259	0.012710618	0.023382684	0.016625984	0.012458955	0.015175863	0.013763806	0.010755919	0.012948514	0.009692492	0.012828752	0.012305757	0.012400505	0.011085109	0.010503389	0.010633286	0.01020615	0.010586493	0.006467006	0.006079686	0.005987103	0.012411083	0.010663275	0.011446929	0.006953148	0.011575661	0.009657273	0.012005725	0.011914153	0.00845697	0.009477392	0.012657773	0.009147254	0.011562517	0.007451896	0.006625798	0.009878667	0.006192997	0.013180999	0.014578767
cg19411932	chr1	763127	0.015664169	0.012699784	0.014042565	0.017359774	0.094283129	0.015399571	0.014316175	0.036284503	0.013465489	0.012750972	0.021019731	0.015243646	0.022795325	0.017377805	0.014836747	0.016022767	0.015972982	0.018804369	0.012635773	0.014544503	0.015670016	0.011446878	0.024061992	0.027158869	0.019824001	0.016429199	0.014319673	0.019449975	0.016161002	0.029521744	0.015670459	0.014234494	0.060025722	0.03210609	0.01672198	0.024915056	0.013788754	0.014419498	0.012807146	0.012179329	0.014203048	0.013901107	0.02461545	0.01900574	0.021105708	0.015400648	0.018924589	0.012278121	0.018363528	0.014644232	0.014079944	0.012276056	0.011631167	0.022060773	0.012456621	0.033479954	0.013148645	0.01263626	0.015921748	0.019888192	0.020555628	0.018732853	0.020547791	0.01485103	0.017314904	0.013293524	0.015944634	0.013326442	0.012428883	0.014327141	0.015479443	0.0185714	0.014974921	0.013620118	0.016904836	0.016019048	0.015485629	0.017297714	0.014619819	0.016244539	0.015155795	0.015676205	0.012672263	0.017290849	0.016949477	0.012107568	0.016871884	0.015801346	0.016116909	0.014866917	0.017605922	0.015151729	0.016225744	0.017210542	0.017613372	0.01076894	0.01758456	0.013210282	0.015316895	0.014220076	0.014767295	0.011978331	0.013063436	0.012521042	0.01604272	0.015399932	0.020359835	0.018968065	0.020460073	0.014459377	0.011182505	0.013148469	0.019849255	0.012818154	0.011878364	0.018343232	0.012700884	0.014210872	0.013227692	0.015314855	0.011966993	0.014044825	0.019443056	0.022756721	0.016804361	0.016405218	0.016188131	0.014787229
cg16736630	chr1	779995	0.804591465	0.809382316	0.835896442	0.742167436	0.913707549	0.754056354	0.849448652	0.922686752	0.837226283	0.869518893	0.63335682	0.724053375	0.78025483	0.734633246	0.839508226	0.813118133	0.80923823	0.731697228	0.673384303	0.612240855	0.838613103	0.814845969	0.821469232	0.69910098	0.683632651	0.73129357	0.83283233	0.675587265	0.839089682	0.768272964	0.578855427	0.858728118	0.602913889	0.850700168	0.844894278	0.811250637	0.841653545	0.590000659	0.806857221	0.862844563	0.832605561	0.898834651	0.782617059	0.756216275	0.566181236	0.813477578	0.891067518	0.849544696	0.9078695	0.790201407	0.747465108	0.918752698	0.885115476	0.904129745	0.770757702	0.878619168	0.735501261	0.891389379	0.850443352	0.838212314	0.850071675	0.93038758	0.882134142	0.909111306	0.693834153	0.761288784	0.710998893	0.852135158	0.730714377	0.882388288	0.81812542	0.907966151	0.845561159	0.833727076	0.74682033	0.70054605	0.782835779	0.830420114	0.755792655	0.77343392	0.813156617	0.78401601	0.828658581	0.822755859	0.705643106	0.757962614	0.780285878	0.756600034	0.822645324	0.741636615	0.712107555	0.787682617	0.767709241	0.731476053	0.722339565	0.833864267	0.734508645	0.832065523	0.760903183	0.867068099	0.859816658	0.879577803	0.887526335	0.818192285	0.855749032	0.92277485	0.831382193	0.876316846	0.885347827	0.765451905	0.887532165	0.879163697	0.821379994	0.79812177	0.889623757	0.858173179	0.831081427	0.885624627	0.847856665	0.770343032	0.78187603	0.850106717	0.88128289	0.735116612	0.835955989	0.861062292	0.889513711	0.778254963
